"ID","Sire","Dam"
"4841","1669","4964"
"4920","4357","4894"
"5061","1177","5031"
"5101","3883","2395"
"5172","5081","3510"
"5214","2417","5085"
"5337","5174","886"
"5430","3189","5444"
"5438","5124","1223"
"5472","2417","260"
"5473","2147","260"
"91","5028","2789"
"111","5410","4967"
"189","1676","5082"
"214","4241","5264"
"218","1691","5264"
"266","4182","5248"
"352","3065","5466"
"477","5120","2325"
"488","5455","537"
"584","4938","596"
"587","5711","596"
"588","5711","596"
"661","906","5456"
"662","906","5456"
"668","514","5456"
"671","3065","4635"
"881","3206","568"
"882","5455","568"
"929","3628","908"
"1101","4410","3868"
"1102","4177","3868"
"1128","4182","342"
"1129","4938","342"
"1136","263","3377"
"1139","1229","3377"
"1227","3628","5260"
"1228","4182","5260"
"1721","514","5458"
"1931","514","1885"
"2031","4410","805"
"2072","1229","3942"
"2087","4241","4185"
"2089","1071","4185"
"2096","1169","5301"
"2099","4125","5301"
"2137","4241","5265"
"2215","1701","4961"
"2217","514","4961"
"2267","513","3968"
"2268","3065","3968"
"2295","5028","3969"
"2401","4938","2406"
"2453","4898","3457"
"2523","4938","402"
"2524","4938","402"
"2525","4938","402"
"2526","5711","402"
"2527","5304","402"
"2528","5304","402"
"2530","5304","402"
"2611","5086","5263"
"2618","3065","811"
"2620","5028","811"
"2628","2968","5302"
"2755","3065","320"
"2790","4938","594"
"2875","4241","982"
"2879","906","3401"
"2958","3206","3964"
"2960","3065","3964"
"3008","4898","5088"
"3077","3206","1883"
"3167","4182","3412"
"3271","3206","5687"
"3275","4178","5687"
"3276","3065","5687"
"3424","1709","3462"
"3513","3628","4179"
"3514","3715","4179"
"3516","3715","4179"
"3517","1691","4179"
"3619","223","3609"
"3620","5028","3609"
"3641","5028","264"
"3822","4241","4414"
"3840","5028","261"
"3845","514","3512"
"3847","5410","3512"
"3921","3206","4893"
"3923","2943","4893"
"3943","4182","5121"
"3972","4182","3973"
"4019","3206","3867"
"4224","5679","3437"
"4225","514","3437"
"4344","5322","1173"
"4345","1226","1173"
"4408","4182","392"
"4461","263","5448"
"4463","1229","5448"
"4551","5455","2937"
"4858","1709","4944"
"4922","3206","4894"
"4923","3065","4894"
"4966","5691","5708"
"4973","4177","3869"
"5004","4241","3719"
"5102","3065","2395"
"5113","4241","5267"
