ID,Mother,BirthYear,Sex,BirthWt
5462,5463,1982,2,6.42
213,5264,1983,2,5.839999809
264,5248,1983,1,6.339999809
885,911,1983,1,5.64
897,1054,1983,2,5.040000095
1128,342,1983,1,6.659999809
1227,5260,1983,1,7.479999809
2040,1061,1983,1,4.600000095
2097,5301,1983,1,5.839999809
2177,3380,1983,1,6.28
2215,4961,1983,1,6.680000095
2268,3968,1983,1,5.620000191
2523,402,1983,1,7.14
2628,5302,1983,2,6.739999905
2741,516,1983,2,7.275
2790,594,1983,1,6.119999809
2924,3454,1983,2,7.660000381
2979,3057,1983,2,5.899999809
3166,3412,1983,1,4.220000191
3201,3382,1983,1,6.619999809
3275,5687,1983,2,6.440000191
3404,3407,1983,2,4.539999905
3440,1171,1983,1,4.979999905
3513,4179,1983,2,7.434999905
3615,3609,1983,2,3.940000191
3650,4337,1983,2,6.420000095
3778,1101,1983,2,4.64
3859,2031,1983,1,6.460000095
3874,4645,1983,1,7.109999809
3923,4893,1983,1,4.220000095
4031,3717,1983,2,6.899999809
4119,483,1983,1,3.724999952
4339,1173,1983,2,3.750000095
4419,4421,1983,1,5.119999809
4469,860,1983,2,6.85
5102,2395,1983,2,4.939999905
5168,3510,1983,1,6.91
5214,5085,1983,2,6.419999905
5241,3271,1983,2,4.720000191
5306,4200,1983,1,7.399999809
5399,5411,1983,1,6.019999905
5413,5458,1983,2,7.159999809
5437,1223,1983,1,5.055000095
5447,5251,1983,1,6.019999809
5472,260,1983,1,4.040000095
5503,4920,1983,2,6.615000095
214,5264,1984,2,8.500000191
265,5248,1984,1,6.540000095
352,5466,1984,1,5.949999905
359,880,1984,2,7.260000191
584,596,1984,1,7.520000381
651,881,1984,1,7.659999809
671,4635,1984,1,6.895
929,908,1984,2,7.679999619
1129,342,1984,2,8.440000191
1148,910,1984,2,7.260000191
1207,5239,1984,1,8.06
1228,5260,1984,2,10.92
1232,2958,1984,1,6.540000095
2098,5301,1984,2,6.109999809
2178,3380,1984,2,7.399999809
2292,3969,1984,2,5.810000095
2400,2406,1984,2,5.720000191
2454,3457,1984,2,7.000000191
2524,402,1984,1,7.675000095
2611,5263,1984,1,5.620000191
2614,4962,1984,2,6.239999905
2617,811,1984,1,6.710000191
2755,320,1984,2,5.080000191
2791,594,1984,2,5.320000095
3008,5088,1984,2,5.740000191
3204,1059,1984,1,6.41
3276,5687,1984,2,4.720000191
3514,4179,1984,1,7.14
3616,3609,1984,2,5.100000095
3834,261,1984,2,6.080000191
3943,5121,1984,2,6.44
3972,3973,1984,2,7.659999809
4223,3437,1984,2,7.35
4340,1173,1984,2,6.339999809
4618,4921,1984,1,3.895
4817,4943,1984,1,4.28
4966,5708,1984,1,7.080000191
5031,909,1984,1,5.17
5103,2395,1984,2,5.32
5215,5085,1984,1,7.380000381
5307,4200,1984,2,7.360000095
5438,1223,1984,2,7.374999809
5448,5251,1984,1,5.540000095
5473,260,1984,1,6.639999809
202,4963,1985,2,5.100000095
266,5248,1985,2,7.32
353,5466,1985,2,6.599999619
480,2325,1985,2,5.419999905
652,881,1985,1,8.119999809
672,4635,1985,1,6.17
886,911,1985,1,7.96
898,1054,1985,1,7.455
930,908,1985,2,6.92
1130,342,1985,1,7.039999905
1149,910,1985,1,6.440000191
1208,5239,1985,2,8.119999809
1229,5260,1985,2,7.080000191
2041,1061,1985,2,6.739999905
2064,3942,1985,2,4.680000191
